,fueltype,length,curbweight,horsepower,price
0,gas,168.8,2548,111.0,13495.0
1,gas,168.8,2548,111.0,16500.0
2,gas,171.2,2823,154.0,16500.0
3,gas,176.6,2337,102.0,13950.0
4,gas,176.6,2824,115.0,17450.0
5,gas,177.3,2507,110.0,15250.0
6,gas,192.7,2844,110.0,17710.0
7,gas,192.7,2954,110.0,18920.0
8,gas,192.7,3086,140.0,23875.0
10,gas,176.8,2395,101.0,16430.0
11,gas,176.8,2395,101.0,16925.0
12,gas,176.8,2710,121.0,20970.0
13,gas,176.8,2765,121.0,21105.0
14,gas,189.0,3055,121.0,24565.0
15,gas,189.0,3230,182.0,30760.0
16,gas,193.8,3380,182.0,41315.0
17,gas,197.0,3505,182.0,36880.0
18,gas,141.1,1488,48.0,5151.0
19,gas,155.9,1874,70.0,6295.0
20,gas,158.8,1909,70.0,6575.0
21,gas,157.3,1876,68.0,5572.0
22,gas,157.3,1876,68.0,6377.0
23,gas,157.3,2128,102.0,7957.0
24,gas,157.3,1967,68.0,6229.0
25,gas,157.3,1989,68.0,6692.0
26,gas,157.3,1989,68.0,7609.0
27,gas,157.3,2191,102.0,8558.0
28,gas,174.6,2535,88.0,8921.0
29,gas,173.2,2811,145.0,12964.0
30,gas,144.6,1713,58.0,6479.0
31,gas,144.6,1819,76.0,6855.0
32,gas,150.0,1837,60.0,5399.0
33,gas,150.0,1940,76.0,6529.0
34,gas,150.0,1956,76.0,7129.0
35,gas,163.4,2010,76.0,7295.0
36,gas,157.1,2024,76.0,7295.0
37,gas,167.5,2236,86.0,7895.0
38,gas,167.5,2289,86.0,9095.0
39,gas,175.4,2304,86.0,8845.0
40,gas,175.4,2372,86.0,10295.0
41,gas,175.4,2465,101.0,12945.0
42,gas,169.1,2293,100.0,10345.0
43,gas,170.7,2337,78.0,6785.0
46,gas,172.6,2734,90.0,11048.0
47,gas,199.6,4066,176.0,32250.0
48,gas,199.6,4066,176.0,35550.0
49,gas,191.7,3950,262.0,36000.0
50,gas,159.1,1890,68.0,5195.0
51,gas,159.1,1900,68.0,6095.0
52,gas,159.1,1905,68.0,6795.0
53,gas,166.8,1945,68.0,6695.0
54,gas,166.8,1950,68.0,7395.0
55,gas,169.0,2380,101.0,10945.0
56,gas,169.0,2380,101.0,11845.0
57,gas,169.0,2385,101.0,13645.0
58,gas,169.0,2500,135.0,15645.0
59,gas,177.8,2385,84.0,8845.0
60,gas,177.8,2410,84.0,8495.0
61,gas,177.8,2385,84.0,10595.0
62,gas,177.8,2410,84.0,10245.0
63,diesel,177.8,2443,64.0,10795.0
64,gas,177.8,2425,84.0,11245.0
65,gas,175.0,2670,120.0,18280.0
66,diesel,175.0,2700,72.0,18344.0
67,diesel,190.9,3515,123.0,25552.0
68,diesel,190.9,3750,123.0,28248.0
69,diesel,187.5,3495,123.0,28176.0
70,diesel,202.6,3770,123.0,31600.0
71,gas,202.6,3740,155.0,34184.0
72,gas,180.3,3685,155.0,35056.0
73,gas,208.1,3900,184.0,40960.0
74,gas,199.2,3715,184.0,45400.0
75,gas,178.4,2910,175.0,16503.0
76,gas,157.3,1918,68.0,5389.0
77,gas,157.3,1944,68.0,6189.0
78,gas,157.3,2004,68.0,6669.0
79,gas,157.3,2145,102.0,7689.0
80,gas,173.0,2370,116.0,9959.0
81,gas,173.0,2328,88.0,8499.0
82,gas,173.2,2833,145.0,12629.0
83,gas,173.2,2921,145.0,14869.0
84,gas,173.2,2926,145.0,14489.0
85,gas,172.4,2365,88.0,6989.0
86,gas,172.4,2405,88.0,8189.0
87,gas,172.4,2403,116.0,9279.0
88,gas,172.4,2403,116.0,9279.0
89,gas,165.3,1889,69.0,5499.0
90,diesel,165.3,2017,55.0,7099.0
91,gas,165.3,1918,69.0,6649.0
92,gas,165.3,1938,69.0,6849.0
93,gas,170.2,2024,69.0,7349.0
94,gas,165.3,1951,69.0,7299.0
95,gas,165.6,2028,69.0,7799.0
96,gas,165.3,1971,69.0,7499.0
97,gas,170.2,2037,69.0,7999.0
98,gas,162.4,2008,69.0,8249.0
99,gas,173.4,2324,97.0,8949.0
100,gas,173.4,2302,97.0,9549.0
101,gas,181.7,3095,152.0,13499.0
102,gas,184.6,3296,152.0,14399.0
103,gas,184.6,3060,152.0,13499.0
104,gas,170.7,3071,160.0,17199.0
105,gas,170.7,3139,200.0,19699.0
106,gas,178.5,3139,160.0,18399.0
107,gas,186.7,3020,97.0,11900.0
108,diesel,186.7,3197,95.0,13200.0
109,gas,198.9,3230,97.0,12440.0
110,diesel,198.9,3430,95.0,13860.0
111,gas,186.7,3075,95.0,15580.0
112,diesel,186.7,3252,95.0,16900.0
113,gas,198.9,3285,95.0,16695.0
114,diesel,198.9,3485,95.0,17075.0
115,gas,186.7,3075,97.0,16630.0
116,diesel,186.7,3252,95.0,17950.0
117,gas,186.7,3130,142.0,18150.0
118,gas,157.3,1918,68.0,5572.0
119,gas,157.3,2128,102.0,7957.0
120,gas,157.3,1967,68.0,6229.0
121,gas,167.3,1989,68.0,6692.0
122,gas,167.3,2191,68.0,7609.0
123,gas,174.6,2535,88.0,8921.0
124,gas,173.2,2818,145.0,12764.0
125,gas,168.9,2778,143.0,22018.0
126,gas,168.9,2756,207.0,32528.0
127,gas,168.9,2756,207.0,34028.0
128,gas,168.9,2800,207.0,37028.0
132,gas,186.6,2658,110.0,11850.0
133,gas,186.6,2695,110.0,12170.0
134,gas,186.6,2707,110.0,15040.0
135,gas,186.6,2758,110.0,15510.0
136,gas,186.6,2808,160.0,18150.0
137,gas,186.6,2847,160.0,18620.0
138,gas,156.9,2050,69.0,5118.0
139,gas,157.9,2120,73.0,7053.0
140,gas,157.3,2240,73.0,7603.0
141,gas,172.0,2145,82.0,7126.0
142,gas,172.0,2190,82.0,7775.0
143,gas,172.0,2340,94.0,9960.0
144,gas,172.0,2385,82.0,9233.0
145,gas,172.0,2510,111.0,11259.0
146,gas,173.5,2290,82.0,7463.0
147,gas,173.5,2455,94.0,10198.0
148,gas,173.6,2420,82.0,8013.0
149,gas,173.6,2650,111.0,11694.0
150,gas,158.7,1985,62.0,5348.0
151,gas,158.7,2040,62.0,6338.0
152,gas,158.7,2015,62.0,6488.0
153,gas,169.7,2280,62.0,6918.0
154,gas,169.7,2290,62.0,7898.0
155,gas,169.7,3110,62.0,8778.0
156,gas,166.3,2081,70.0,6938.0
157,gas,166.3,2109,70.0,7198.0
158,diesel,166.3,2275,56.0,7898.0
159,diesel,166.3,2275,56.0,7788.0
160,gas,166.3,2094,70.0,7738.0
161,gas,166.3,2122,70.0,8358.0
162,gas,166.3,2140,70.0,9258.0
163,gas,168.7,2169,70.0,8058.0
164,gas,168.7,2204,70.0,8238.0
165,gas,168.7,2265,112.0,9298.0
166,gas,168.7,2300,112.0,9538.0
167,gas,176.2,2540,116.0,8449.0
168,gas,176.2,2536,116.0,9639.0
169,gas,176.2,2551,116.0,9989.0
170,gas,176.2,2679,116.0,11199.0
171,gas,176.2,2714,116.0,11549.0
172,gas,176.2,2975,116.0,17669.0
173,gas,175.6,2326,92.0,8948.0
174,diesel,175.6,2480,73.0,10698.0
175,gas,175.6,2414,92.0,9988.0
176,gas,175.6,2414,92.0,10898.0
177,gas,175.6,2458,92.0,11248.0
178,gas,183.5,2976,161.0,16558.0
179,gas,183.5,3016,161.0,15998.0
180,gas,187.8,3131,156.0,15690.0
181,gas,187.8,3151,156.0,15750.0
182,diesel,171.7,2261,52.0,7775.0
183,gas,171.7,2209,85.0,7975.0
184,diesel,171.7,2264,52.0,7995.0
185,gas,171.7,2212,85.0,8195.0
186,gas,171.7,2275,85.0,8495.0
187,diesel,171.7,2319,68.0,9495.0
188,gas,171.7,2300,100.0,9995.0
189,gas,159.3,2254,90.0,11595.0
190,gas,165.7,2221,90.0,9980.0
191,gas,180.2,2661,110.0,13295.0
192,diesel,180.2,2579,68.0,13845.0
193,gas,183.1,2563,88.0,12290.0
194,gas,188.8,2912,114.0,12940.0
195,gas,188.8,3034,114.0,13415.0
196,gas,188.8,2935,114.0,15985.0
197,gas,188.8,3042,114.0,16515.0
198,gas,188.8,3045,162.0,18420.0
199,gas,188.8,3157,162.0,18950.0
200,gas,188.8,2952,114.0,16845.0
201,gas,188.8,3049,160.0,19045.0
202,gas,188.8,3012,134.0,21485.0
203,diesel,188.8,3217,106.0,22470.0
204,gas,188.8,3062,114.0,22625.0
